sku,total,lines_json
F-46221297,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
F-50813160,26,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":6},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":20}]"
F-52551002,6,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":3},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
F-52551029,9,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":5},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":4}]"
FC-10576,5,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
FC-110801,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-11096,11,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":7},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":4}]"
FC-11097,11,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":5},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":6}]"
FC-11098,6,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":4},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
FC-11100,5,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":4},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
FC-11101,4,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
FC-11102,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
FC-11103,7,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":4},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
FC-11106,4,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
FC-11121,8,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":5},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
FC-11122,5,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":3},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
FC-11123,7,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":4},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
FC-119000,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
